"momento","bairro","faixa_idade","estuda","sentimentos","afeta_vida","avontade_opinar","confia_eleitos","afasta","ja_participou","onde_discute","sabia_participar","criado_em"
"inicio","Campo Grande","16–17","escola pública","raiva / nojo; não é pra mim; distante de mim","2","5","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-26T17:58:44.325846+00:00"
"inicio","Outro bairro","14–15","escola pública","distante de mim","3","2","2","não entendo do assunto","uma vez","não discuto","sabia e já fui","2026-06-26T17:59:06.738327+00:00"
"inicio","Campo Grande","16–17","escola pública","raiva / nojo","1","5","1","é tudo corrupto; não muda nada; ninguém escuta jovem","nunca","TikTok / Insta; escola; amigos","sabia mas nunca fui","2026-06-26T17:59:18.038806+00:00"
"inicio","Campo Grande","18+","escola pública","curiosidade; vontade de mudar algo","5","4","2","ninguém escuta jovem; medo de me expor; não muda nada","uma vez","TikTok / Insta; amigos","não sabia que dava","2026-06-26T17:59:55.671489+00:00"
"fim_jogo","Outro bairro","16–17","","curiosidade; vontade de mudar algo","5","","","","sempre que dá","","","2026-06-26T18:00:15.817768+00:00"
"inicio","Campo Grande","14–15","escola pública","desânimo","2","3","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-26T18:00:28.58027+00:00"
"inicio","Campo Grande","","escola pública","distante de mim; não é pra mim","3","2","2","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-26T18:00:34.188768+00:00"
"inicio","Campo Grande","14–15","escola pública","medo de falar errado","4","2","1","é tudo corrupto","uma vez","amigos","sabia mas nunca fui","2026-06-26T18:00:57.367148+00:00"
"inicio","Campo Grande","18+","escola pública","curiosidade","4","4","2","não muda nada","às vezes","TikTok / Insta","sabia mas nunca fui","2026-06-26T18:02:11.998186+00:00"
"inicio","Outro bairro","16–17","escola pública","não é pra mim","1","1","1","é tudo corrupto","nunca","não discuto","sabia mas nunca fui","2026-06-26T18:03:16.971285+00:00"
"inicio","Outro bairro","16–17","escola pública","não é pra mim; vontade de mudar algo","1","2","1","não muda nada; ninguém escuta jovem","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-26T18:05:22.236263+00:00"
"inicio","Outro bairro","14–15","escola pública","raiva / nojo; distante de mim","1","2","1","não muda nada","nunca","WhatsApp da família","não sabia que dava","2026-06-26T18:05:57.967349+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","3","3","3","não tenho tempo","nunca","TikTok / Insta; na rua / bairro","sabia mas nunca fui","2026-06-26T18:06:22.168294+00:00"
